Date,Daily minimum temperatures,Year,Month,Day,Day of Week,Week of Year,Day of Year,Day Name,Season,Month_sin,Month_cos,DayofWeek_sin,DayofWeek_cos,Rolling Mean 7,Rolling Mean 30,Rolling Std 7,Rolling Std 30,Temp Diff 1d,Temp Diff 7d,Lag 1,Lag 2,Lag 3,Lag 7,Lag 14,Lag 30
1981-01-01,20.7,1981.0,1.0,1.0,3.0,1,1.0,Thursday,Winter,0.5,0.87,0.43,-0.9,20.7,20.7,0.0,1.1050000000000002,,,11.17,11.17,11.17,11.17,11.17,11.17
1981-01-02,17.9,1981.0,1.0,2.0,4.0,1,2.0,Friday,Winter,0.5,0.87,-0.43,-0.9,17.9,17.9,0.0,1.1050000000000002,-2.8,,20.7,11.17,11.17,11.17,11.17,11.17
1981-01-03,18.8,1981.0,1.0,3.0,5.0,1,3.0,Saturday,Winter,0.5,0.87,-0.97,-0.22,18.8,18.8,0.0,1.1050000000000002,0.9,,17.9,20.7,11.17,11.17,11.17,11.17
1981-01-04,14.6,1981.0,1.0,4.0,6.0,1,4.0,Sunday,Winter,0.5,0.87,-0.78,0.62,14.6,14.6,0.0,1.1050000000000002,-4.2,,18.8,17.9,20.7,11.17,11.17,11.17
1981-01-05,15.8,1981.0,1.0,5.0,0.0,2,5.0,Monday,Winter,0.5,0.87,0.0,1.0,15.8,15.8,0.0,1.1050000000000002,1.2,,14.6,18.8,17.9,11.17,11.17,11.17
1981-01-06,15.8,1981.0,1.0,6.0,1.0,2,6.0,Tuesday,Winter,0.5,0.87,0.78,0.62,15.8,15.8,0.0,1.1050000000000002,0.0,,15.8,14.6,18.8,11.17,11.17,11.17
1981-01-07,15.8,1981.0,1.0,7.0,2.0,2,7.0,Wednesday,Winter,0.5,0.87,0.97,-0.22,17.06,15.8,2.15,1.1050000000000002,0.0,,15.8,15.8,14.6,11.17,11.17,11.17
1981-01-08,17.4,1981.0,1.0,8.0,3.0,2,8.0,Thursday,Winter,0.5,0.87,0.43,-0.9,16.59,17.4,1.48,1.1050000000000002,1.6,-3.3,15.8,15.8,15.8,20.7,11.17,11.17
1981-01-09,21.8,1981.0,1.0,9.0,4.0,2,9.0,Friday,Winter,0.5,0.87,-0.43,-0.9,17.14,21.8,2.46,1.1050000000000002,4.4,3.9,17.4,15.8,15.8,17.9,11.17,11.17
1981-01-10,20.0,1981.0,1.0,10.0,5.0,2,10.0,Saturday,Winter,0.5,0.87,-0.97,-0.22,17.31,20.0,2.63,1.1050000000000002,-1.8,1.2,21.8,17.4,15.8,18.8,11.17,11.17
1981-01-11,16.2,1981.0,1.0,11.0,6.0,2,11.0,Sunday,Winter,0.5,0.87,-0.78,0.62,17.54,16.2,2.42,1.1050000000000002,-3.8,1.6,20.0,21.8,17.4,14.6,11.17,11.17
1981-01-12,13.3,1981.0,1.0,12.0,0.0,3,12.0,Monday,Winter,0.5,0.87,0.0,1.0,17.19,13.3,2.86,1.1050000000000002,-2.9,-2.5,16.2,20.0,21.8,15.8,11.17,11.17
1981-01-13,16.7,1981.0,1.0,13.0,1.0,3,13.0,Tuesday,Winter,0.5,0.87,0.78,0.62,17.31,16.7,2.81,1.1050000000000002,3.4,0.9,13.3,16.2,20.0,15.8,11.17,11.17
1981-01-14,21.5,1981.0,1.0,14.0,2.0,3,14.0,Wednesday,Winter,0.5,0.87,0.97,-0.22,18.13,21.5,3.11,1.1050000000000002,4.8,5.7,16.7,13.3,16.2,15.8,11.17,11.17
1981-01-15,22.549999999999997,1981.0,1.0,15.0,3.0,3,15.0,Thursday,Winter,0.5,0.87,0.43,-0.9,18.86,21.970000000000002,3.49,1.1050000000000002,1.05,5.15,21.5,16.7,13.3,17.4,20.7,11.17
1981-01-16,20.7,1981.0,1.0,16.0,4.0,3,16.0,Friday,Winter,0.5,0.87,-0.43,-0.9,18.71,20.7,3.36,1.1050000000000002,-1.85,-1.1,22.549999999999997,21.5,16.7,21.8,17.9,11.17
1981-01-17,20.6,1981.0,1.0,17.0,5.0,3,17.0,Saturday,Winter,0.5,0.87,-0.97,-0.22,18.79,20.6,3.41,1.1050000000000002,-0.1,0.6,20.7,22.549999999999997,21.5,20.0,18.8,11.17
1981-01-18,22.549999999999997,1981.0,1.0,18.0,6.0,3,18.0,Sunday,Winter,0.5,0.87,-0.78,0.62,19.7,21.970000000000002,3.45,1.1050000000000002,1.95,6.35,20.6,20.7,22.549999999999997,16.2,14.6,11.17
1981-01-19,17.7,1981.0,1.0,19.0,0.0,4,19.0,Monday,Winter,0.5,0.87,0.0,1.0,20.33,17.7,2.29,1.1050000000000002,-4.85,4.4,22.549999999999997,20.6,20.7,13.3,15.8,11.17
1981-01-20,15.5,1981.0,1.0,20.0,1.0,4,20.0,Tuesday,Winter,0.5,0.87,0.78,0.62,20.16,15.5,2.63,1.1050000000000002,-2.2,-1.2,17.7,22.549999999999997,20.6,16.7,15.8,11.17
1981-01-21,18.2,1981.0,1.0,21.0,2.0,4,21.0,Wednesday,Winter,0.5,0.87,0.97,-0.22,19.69,18.2,2.64,1.1050000000000002,2.7,-3.3,15.5,17.7,22.549999999999997,21.5,15.8,11.17
1981-01-22,12.1,1981.0,1.0,22.0,3.0,4,22.0,Thursday,Winter,0.5,0.87,0.43,-0.9,18.19,12.1,3.55,1.1050000000000002,-6.1,-9.6,18.2,15.5,17.7,22.549999999999997,17.4,11.17
1981-01-23,14.4,1981.0,1.0,23.0,4.0,4,23.0,Friday,Winter,0.5,0.87,-0.43,-0.9,17.29,14.4,3.61,1.1050000000000002,2.3,-6.3,12.1,18.2,15.5,20.7,21.8,11.17
1981-01-24,16.0,1981.0,1.0,24.0,5.0,4,24.0,Saturday,Winter,0.5,0.87,-0.97,-0.22,16.64,16.0,3.31,1.1050000000000002,1.6,-4.6,14.4,12.1,18.2,20.6,20.0,11.17
1981-01-25,16.5,1981.0,1.0,25.0,6.0,4,25.0,Sunday,Winter,0.5,0.87,-0.78,0.62,15.77,16.5,2.07,1.1050000000000002,0.5,-6.05,16.0,14.4,12.1,22.549999999999997,16.2,11.17
1981-01-26,18.7,1981.0,1.0,26.0,0.0,5,26.0,Monday,Winter,0.5,0.87,0.0,1.0,15.91,18.7,2.25,1.1050000000000002,2.2,1.0,16.5,16.0,14.4,17.7,13.3,11.17
1981-01-27,19.4,1981.0,1.0,27.0,1.0,5,27.0,Tuesday,Winter,0.5,0.87,0.78,0.62,16.47,19.4,2.59,1.1050000000000002,0.7,3.9,18.7,16.5,16.0,15.5,16.7,11.17
1981-01-28,17.2,1981.0,1.0,28.0,2.0,5,28.0,Wednesday,Winter,0.5,0.87,0.97,-0.22,16.33,17.2,2.5,1.1050000000000002,-2.2,-1.0,19.4,18.7,16.5,18.2,21.5,11.17
1981-01-29,15.5,1981.0,1.0,29.0,3.0,5,29.0,Thursday,Winter,0.5,0.87,0.43,-0.9,16.81,15.5,1.77,1.1050000000000002,-1.7,3.4,17.2,19.4,18.7,12.1,22.299999999999997,11.17
1981-01-30,15.1,1981.0,1.0,30.0,4.0,5,30.0,Friday,Winter,0.5,0.87,-0.43,-0.9,16.91,17.63,1.62,2.76,-0.4,0.7,15.5,17.2,19.4,14.4,20.7,11.17
1981-01-31,15.4,1981.0,1.0,31.0,5.0,5,31.0,Saturday,Winter,0.5,0.87,-0.97,-0.22,16.83,17.46,1.69,2.73,0.3,-0.6,15.1,15.5,17.2,16.0,20.6,20.7
1981-02-01,15.3,1981.0,2.0,1.0,6.0,5,32.0,Sunday,Winter,0.87,0.5,-0.78,0.62,16.66,17.37,1.79,2.76,-0.1,-1.2,15.4,15.1,15.5,16.5,22.299999999999997,17.9
